"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000242950.5",26.6380565767994,2.62650507441849,0.578029989226092,4.54389066895135,5.52253091702566e-06,0.00213488612398578
"ENSG00000137699.15",1350.66669817012,-2.61534626067069,0.575681431603276,-4.54304432468307,5.54475868414852e-06,0.00213488612398578
"ENSG00000226128.1",4.9845969214914,4.54928277020764,1.0018029231024,4.54109552417688,5.59626666536586e-06,0.00213488612398578
"ENSG00000254604.1",14.6844780361124,1.6712501097677,0.368169719112182,4.53934699952461,5.64287081229722e-06,0.00213488612398578
"ENSG00000246363.2",13.2844347598027,2.29275671188515,0.507120340504805,4.52112946130866,6.1510553844543e-06,0.00230315805735443
"ENSG00000242048.3",10.1898332309103,1.930980316904,0.427888383107472,4.51281313804447,6.39733819188024e-06,0.00237093186866419
"ENSG00000253720.1",9.5411963268842,3.27052524516466,0.725678592436403,4.50685093821517,6.57968216297075e-06,0.00240073958084998
"ENSG00000265735.2",27.0877012141,2.19522516245462,0.487191641940499,4.50587607314233,6.609965806305e-06,0.00240073958084998
"ENSG00000221676.1",7.55810299017298,3.28682831279599,0.73303152568831,4.48388397717232,7.32965256614043e-06,0.00261106641379633
"ENSG00000224812.2",12.0139012464734,1.34972639484059,0.301052842231741,4.48335376884307,7.34789617928803e-06,0.00261106641379633
"ENSG00000267457.1",9.58462510218271,2.86293459229632,0.638804067886607,4.48171002067651,7.40473129463165e-06,0.00261106641379633
"ENSG00000279900.1",17.4647725547797,1.80216872039189,0.402431050357137,4.47820494664256,7.52733179222159e-06,0.00262877587205277
"ENSG00000230872.1",21.341473777614,1.87195449098834,0.418662982715725,4.47126822353771,7.77571011529606e-06,0.00268965515607193
"ENSG00000279424.1",10.2247925951504,2.10661137285028,0.472441434010846,4.45898945603894,8.23469713926587e-06,0.00279999862356464
"ENSG00000153233.11",101.895828731691,-1.65533852370273,0.371266997525174,-4.45862017021992,8.24889462338703e-06,0.00279999862356464
"ENSG00000224431.1",28.9584652045172,2.23068792350381,0.501634214255203,4.44684166293521,8.71420198406601e-06,0.00291645915428151
"ENSG00000233436.6",14.4092735185222,2.56868283550666,0.577764814609552,4.44589696456775,8.75258942226554e-06,0.00291645915428151
"ENSG00000242087.2",4.16314845636223,3.9896444832097,0.898364292105423,4.44100964193434,8.95377824147174e-06,0.00294270294507076
"ENSG00000279020.1",8.07844510493847,3.63085056976046,0.817748142907526,4.44005969472565,8.99339281120192e-06,0.00294270294507076
"ENSG00000269920.1",9.47337086561738,2.27740596451505,0.513537519954376,4.43474113579351,9.21829878056938e-06,0.00298936260455607
"ENSG00000065621.13",597.587516495305,-1.21706632715563,0.274909504833753,-4.42715259296558,9.54851856411537e-06,0.00306622347112364
"ENSG00000222764.1",10.5193943641329,4.1710003090701,0.942503163070705,4.42544966690705,9.62415957346076e-06,0.00306622347112364
"ENSG00000128918.13",762.401960083975,2.08472263231096,0.471370081842043,4.4226876346589,9.7480627128027e-06,0.00307869250199125
"ENSG00000127561.13",159.596241669433,1.57550073566847,0.357766002540419,4.40371842064697,1.06411042271792e-05,0.00333176642699266
"ENSG00000182898.3",9.89950763934302,5.14166754254509,1.16821459353033,4.40130398217937,1.07602250114772e-05,0.00334026814031498
"ENSG00000226403.1",2.49078385165697,2.88725655292398,0.656645176510154,4.39698128640611,1.09766804641076e-05,0.00337858503776599
